student_id,certificates_issued,minutes_watched
4640,1,586.80
5836,3,1903.12
9754,1,702.77
801,13,6066.00
2022,1,115.37
6278,2,2181.32
2731,2,508.50
2938,1,1444.78
182,7,2018.87
3239,6,2335.58
1754,9,516.18
3774,2,1798.07
3780,1,266.68
3183,5,147.55
999,2,502.13
7382,1,1019.08
5827,6,953.23
4739,4,3273.48
1046,1,2305.95
1852,1,806.20
2811,2,3192.95
2003,3,1028.78
3577,2,329.90
4595,1,869.15
1540,2,675.60
1200,2,329.40
1619,6,1490.73
10422,6,871.98
969,1,642.40
1521,3,776.92
6053,3,986.13
6,1,148.12
2737,1,680.57
4723,2,700.55
862,1,1145.65
5080,2,1892.32
2073,2,467.53
1221,1,227.30
2091,1,2655.62
841,3,1623.63
7086,1,1399.13
7540,1,518.17
6159,2,253.15
1567,1,1286.92
1652,2,1355.32
9372,1,316.70
911,2,917.42
8544,1,418.45
3338,1,1004.58
8641,1,109.55
3423,1,1082.13
268796,9,1844.53
267959,1,809.78
259283,1,564.65
270700,1,611.55
271154,6,2510.02
255169,3,367.25
226169,2,802.75
261189,2,405.08
275442,4,1505.03
275293,1,104.57
262112,2,1574.37
278753,1,636.97
180668,1,127.53
172792,1,429.65
272510,1,357.87
269541,5,1504.12
198179,2,570.30
274825,1,1147.78
263579,1,346.18
173105,3,342.10
261905,4,2220.75
265966,2,853.88
216394,3,2086.00
270671,2,419.37
260616,5,1253.08
274269,2,212.87
274904,2,430.45
265092,6,1480.15
148089,1,7.30
264916,4,779.43
259884,2,1119.37
274070,2,1262.57
181800,1,362.12
205950,1,902.73
213109,3,281.95
265789,1,251.82
254431,6,1426.67
274576,5,1203.13
257384,4,630.03
268357,3,1405.98
270240,2,694.68
272696,1,202.80
278055,1,222.32
264687,1,82.53
261590,4,864.22
261647,1,914.22
85568,18,0.00
268516,1,1269.25
147672,6,1214.30
47183,3,895.48
270075,7,2588.00
264425,2,835.77
270247,1,512.52
254310,7,1317.85
234155,1,225.53
267203,2,515.77
268556,3,908.65
269070,1,573.37
270179,2,536.13
162497,6,1267.38
175038,4,978.78
270599,10,2619.62
152896,1,687.78
271872,1,391.67
270460,1,936.02
274382,3,626.35
219561,2,602.88
275165,2,657.27
161380,9,2880.08
261510,2,170.35
266693,2,473.27
270911,1,138.30
260608,1,638.90
272918,1,347.35
275282,5,941.87
275799,1,324.60
263076,6,1315.42
260042,8,1700.32
204419,4,814.12
259429,4,507.32
269898,1,471.55
264514,1,763.43
265878,3,636.08
261883,1,426.72
172127,3,734.57
268863,2,517.40
160595,2,675.05
153741,1,917.05
275273,1,234.17
166734,1,370.38
275590,3,637.63
269670,1,218.13
268553,1,78.13
159336,2,501.23
122992,2,0.00
254858,1,257.50
272157,1,379.13
269518,9,1662.82
255220,2,1096.63
41336,2,1463.23
276232,1,301.60
274572,1,725.83
279738,1,158.07
253823,4,1089.60
261171,4,728.08
269744,1,907.43
250629,2,76.17
264295,3,2376.15
252339,4,2260.82
270367,1,341.50
235996,1,370.53
268926,11,2070.15
209256,2,605.73
276135,3,1138.93
263456,1,262.45
159186,2,1421.55
274087,1,190.00
255827,6,1054.35
176391,1,405.53
272463,1,364.70
272838,1,201.48
269220,1,237.98
165285,8,1583.35
158034,1,363.25
268990,2,1551.58
16668,1,535.67
274838,1,82.53
254868,1,97.12
252008,3,927.18
260833,1,118.33
261337,1,571.67
255449,1,138.53
266788,5,1288.00
253682,1,493.32
158129,1,119.02
276455,4,1248.85
265588,4,1465.75
277084,3,939.48
260861,1,194.03
269047,1,349.65
261777,10,2779.63
170493,8,1078.97
267010,3,1174.67
272255,2,713.95
74498,1,163.85
228262,2,445.60
256969,1,454.68
267765,2,428.73
272717,4,2416.55
254558,2,757.53
242454,6,841.87
272261,1,485.12
275275,1,324.93
208957,1,180.35
275552,1,302.38
159457,1,917.82
153235,1,423.28
267898,6,1379.63
266758,2,1064.42
269000,1,634.92
269066,4,1832.58
260465,4,1228.20
261682,4,1501.77
152109,1,1411.30
271300,1,829.83
273803,1,297.75
279766,1,132.80
266811,1,154.07
246267,12,3711.67
277508,4,991.05
274880,1,58.73
262406,3,570.57
157976,2,442.73
270957,2,1320.95
155640,2,798.45
270824,1,215.27
195307,1,324.32
158724,5,1431.57
165026,3,434.53
255668,4,733.63
267936,1,2542.98
248305,1,558.08
225789,2,442.57
266112,5,5311.62
257130,1,137.18
254860,1,289.70
251774,1,504.37
257151,1,916.03
258044,1,1095.57
156498,1,1126.25
161060,4,321.70
217601,2,349.78
271664,1,536.60
148372,3,225.20
187880,1,155.50
272199,1,728.87
194507,6,1316.05
271140,2,702.82
165374,1,246.98
185208,1,1019.33
261019,2,719.50
259494,1,113.58
270022,4,548.57
254953,2,749.80
262459,1,1077.42
207559,1,66.25
232131,2,595.08
273249,1,395.93
255296,1,589.55
274273,2,601.33
204116,1,714.25
190803,5,978.52
260998,15,1906.50
265101,3,424.83
44965,1,319.33
263368,1,387.03
151694,1,3491.48
53781,3,0.05
264623,1,220.98
276784,1,550.53
271185,1,1506.78
190610,1,312.83
149601,2,126.27
278927,2,383.85
238800,1,366.67
265928,7,1656.52
259106,1,334.55
241632,3,977.67
238987,4,570.57
268989,4,1480.08
268978,4,3002.23
195508,12,2823.77
269570,2,569.80
266766,2,1233.13
272842,1,6163.18
274861,3,1171.38
278758,1,225.93
267026,1,429.58
271338,1,492.02
252678,5,1582.23
256670,6,1528.85
276439,6,1518.10
30206,1,483.10
17419,2,702.63
274814,2,823.72
171827,1,284.02
171439,1,29.77
265967,5,1371.45
253574,1,1176.13
217558,1,0.00
258141,1,351.82
268805,1,1880.25
266477,2,69.85
267843,2,56.88
166145,1,533.25
272001,2,1298.62
145177,1,918.17
157277,2,1884.22
275470,7,1443.37
255275,3,723.55
275103,1,169.48
275008,1,173.43
277825,1,338.32
187237,1,0.00
259504,6,2051.80
179203,3,2255.92
142814,1,162.32
265686,1,132.82
270833,2,506.48
272909,8,4111.93
275788,3,385.58
268011,7,2544.77
176012,1,222.83
277285,1,992.13
144348,1,863.88
89102,2,0.10
254929,1,833.83
156407,9,1708.70
244886,3,556.72
270393,2,700.20
271519,3,1571.22
208948,7,0.00
265176,1,57.82
256448,5,2073.87
21229,1,138.12
260649,2,323.22
157198,7,2434.82
143561,10,2309.33
269872,4,701.03
147878,7,2938.07
255186,3,404.53
259767,3,1997.07
273654,1,333.50
270619,2,344.35
190825,2,631.10
143701,1,1023.33
278283,2,1054.88
268390,13,2009.38
15772,4,1110.18
268510,1,167.53
259174,1,281.50
267949,1,110.65
230140,2,608.90
147132,1,357.92
145013,1,697.02
19124,2,1868.85
156776,3,1558.35
256432,1,549.55
172619,3,1171.35
255271,1,222.08
261801,11,2338.62
263293,3,995.50
271800,2,2011.07
259483,1,75.43
146855,4,373.40
155427,1,1523.08
143709,3,1462.22
172793,3,876.17
265808,1,486.98
254931,1,239.85
170879,7,1262.87
29758,3,692.83
172289,1,388.40
276490,1,1165.85
147087,1,1221.50
264954,1,681.85
269540,1,374.35
34121,1,450.67
273371,2,168.53
258337,2,675.45
274050,10,3073.05
217155,5,1157.15
266012,1,1258.25
269646,1,1220.07
183978,9,2010.43
270135,1,249.33
20710,8,2222.05
272437,2,789.95
270738,1,1342.07
254601,3,386.55
161693,1,358.42
12279,1,200.98
266332,3,705.80
148628,1,402.03
267854,2,271.75
262599,1,296.07
156206,4,3087.27
156649,6,2343.28
199192,1,572.92
196809,5,765.37
266529,4,1179.80
156587,2,353.38
169624,21,0.00
272596,2,1042.13
190625,1,1031.02
274836,1,89.18
159873,10,1347.23
243847,1,528.17
227874,2,395.87
266041,1,168.17
156647,2,2355.20
267916,10,2326.67
261212,5,1409.43
260910,2,529.83
269492,1,588.65
254466,1,130.58
233988,1,289.40
272570,1,325.38
115019,2,638.15
277791,1,488.25
273992,2,356.48
277964,1,308.62
278881,2,490.33
148886,1,2067.28
171585,1,49.57
278882,1,174.78
257415,1,181.40
269843,1,513.47
181083,1,225.72
255058,2,731.73
161173,1,319.90
254972,1,173.57
274908,1,458.45
275021,3,210.47
247618,1,581.00
159370,11,6464.82
254759,1,336.60
270363,1,255.42
149787,1,163.82
238848,7,1924.93
172535,3,604.27
39563,5,599.22
216478,2,291.98
272569,1,187.83
275277,1,528.00
276265,1,280.65
275038,4,715.03
264472,1,195.53
160960,4,1116.02
254713,8,1835.53
263690,4,1030.07
265970,1,163.22
256954,2,284.45
271015,2,2044.02
261813,2,427.45
268408,1,240.90
238879,1,52.37
275129,3,1416.27
156510,1,234.02
259959,2,334.90
263480,2,228.20
240294,1,120.63
264476,3,1397.18
261466,6,1621.37
259011,3,621.98
260980,4,817.02
277864,1,288.53
271837,1,236.60
260572,2,426.80
156409,1,709.43
171738,4,772.27
179127,1,299.17
171313,3,1449.70
269519,2,521.85
150745,2,1286.85
145310,1,41.42
274039,7,1160.60
272882,1,327.03
159060,1,176.52
276395,1,146.78
277099,1,187.37
149042,1,489.53
156057,1,967.88
193509,1,31.03
261802,1,361.07
161844,1,703.60
264049,1,368.17
277557,2,1308.02
188507,1,225.77
274611,1,152.23
248036,2,354.75
264253,1,337.07
268129,3,593.00
254553,2,1148.97
233619,6,1523.60
184826,2,512.98
171339,1,535.28
156767,1,164.83
270633,2,692.10
277590,2,458.07
185848,3,994.32
269314,4,1675.65
17613,1,223.83
273060,1,974.52
274798,1,629.15
274906,7,1482.15
276887,1,449.72
145561,1,197.20
268154,1,310.57
213528,1,174.33
192420,3,451.13
234596,1,773.77
256703,8,1914.42
172218,1,154.38
15743,1,87.13
169966,1,469.45
260168,2,935.27
150949,8,5249.05
268825,1,1609.35
271543,2,951.15
227678,2,772.90
272543,1,172.00
272035,1,2081.60
274163,1,737.02
153103,1,1209.37
278177,1,200.88
261593,1,270.42
156183,1,812.98
156467,6,1557.32
212463,4,3434.42
248414,3,427.03
253827,2,968.85
197505,10,719.43
183819,1,229.77
274996,3,760.40
277410,1,146.98
12532,1,481.90
264146,7,1809.10
244031,1,369.02
253264,1,898.42
157285,1,277.12
259860,5,1595.12
235274,3,345.50
268866,2,441.78
256834,1,130.00
265519,2,470.38
266001,3,1749.95
260173,3,1378.07
275449,3,772.07
277398,1,536.78
275574,1,419.92
275286,1,269.18
270930,1,397.17
279468,1,160.08
261785,3,1445.70
179118,1,118.13
269934,4,879.12
271035,3,1532.88
271991,3,1079.05
156276,2,597.68
176090,6,2779.98
254098,1,30.75
272965,8,2342.55
254378,1,274.42
153765,3,1021.63
272865,2,846.07
150090,2,1499.27
270042,1,1368.35
262569,1,395.40
262585,2,1220.98
271348,3,890.82
264404,1,518.60
176531,5,656.23
275020,6,1193.27
262641,1,542.63
229699,3,388.65
149652,5,1176.87
16979,3,535.68
185851,6,2785.42
171900,6,3448.22
254914,4,1020.10
274209,1,1029.22
277066,2,833.42
161210,5,805.45
265653,1,181.82
264761,1,127.97
200231,1,906.87
30872,1,1001.97
196681,1,543.08
146149,3,938.25
263706,1,148.88
269054,2,778.33
263494,1,798.05
157698,2,778.37
275132,3,574.78
147687,1,3761.35
159548,3,569.87
219488,5,1399.17
268331,1,2237.55
267064,6,1787.35
266614,4,819.33
59568,1,176.57
144397,13,1242.37
235735,1,534.15
261756,6,1424.67
14700,35,1657.05
272504,1,335.05
255187,1,53.33
215160,2,388.98
260754,5,1256.03
268962,1,569.23
265003,3,1115.90
149195,2,2299.22
255282,2,657.80
274630,1,178.63
182880,1,492.43
274929,2,815.87
267885,1,443.63
274162,1,847.95
269020,1,125.78
182808,1,365.07
190394,1,89.30
268714,3,561.08
154092,4,1563.80
258636,3,687.77
260345,3,1387.15
161537,1,91.05
273423,18,5334.78
274564,4,1862.78
161496,1,688.05
273841,1,1047.52
278509,1,662.55
11353,2,1095.90
147956,13,2288.98
269671,2,465.35
265005,1,525.83
265130,1,118.85
181620,1,1199.13
225955,1,363.37
236361,1,456.70
236797,1,628.10
262412,2,687.73
236628,2,856.90
21615,1,0.00
225394,1,341.80
261819,1,37.43
261393,1,412.78
268764,6,1941.10
265250,3,1213.63
149323,1,172.97
268800,3,753.90
254813,2,601.65
257112,2,265.60
154291,1,371.37
276783,3,698.83
278326,1,271.53
278582,2,396.08
